match_id,date,match_type,event_name,innings,batting_team,bowling_team,over,ball,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,fielder,city,venue,toss_winner,toss_decision,winner,winner_runs,winner_wickets,player_of_match,runs,wickets,match_result
1001,2025-04-01,T20,Indian Premier League 2025,1,CSK,MI,0,1,Ruturaj Gaikwad,Devon Conway,Gerald Coetzee,1,0,,,,,,,,,Mumbai,Wankhede Stadium,MI,field,MI,0,6,Ravindra Jadeja,1,0,MI won by 6 wickets
1001,2025-04-01,T20,Indian Premier League 2025,1,CSK,MI,0,2,Devon Conway,Ruturaj Gaikwad,Gerald Coetzee,0,0,,,,,,,,,Mumbai,Wankhede Stadium,MI,field,MI,0,6,Ravindra Jadeja,1,0,MI won by 6 wickets
1001,2025-04-01,T20,Indian Premier League 2025,1,CSK,MI,0,3,Devon Conway,Ruturaj Gaikwad,Gerald Coetzee,0,1,1,,,,,,,,Mumbai,Wankhede Stadium,MI,field,MI,0,6,Ravindra Jadeja,2,0,MI won by 6 wickets
1001,2025-04-01,T20,Indian Premier League 2025,1,CSK,MI,0,3,Devon Conway,Ruturaj Gaikwad,Gerald Coetzee,1,0,,,,,,,,,Mumbai,Wankhede Stadium,MI,field,MI,0,6,Ravindra Jadeja,3,0,MI won by 6 wickets
1001,2025-04-01,T20,Indian Premier League 2025,1,CSK,MI,0,4,Ruturaj Gaikwad,Devon Conway,Gerald Coetzee,0,0,,,,,,,,,Mumbai,Wankhede Stadium,MI,field,MI,0,6,Ravindra Jadeja,3,0,MI won by 6 wickets
1001,2025-04-01,T20,Indian Premier League 2025,1,CSK,MI,0,5,Ruturaj Gaikwad,Devon Conway,Gerald Coetzee,4,0,,,,,,,,,Mumbai,Wankhede Stadium,MI,field,MI,0,6,Ravindra Jadeja,7,0,MI won by 6 wickets
1001,2025-04-01,T20,Indian Premier League 2025,1,CSK,MI,0,6,Ruturaj Gaikwad,Devon Conway,Gerald Coetzee,0,0,,,,,,,,,Mumbai,Wankhede Stadium,MI,field,MI,0,6,Ravindra Jadeja,7,0,MI won by 6 wickets
1001,2025-04-01,T20,Indian Premier League 2025,1,CSK,MI,1,1,Devon Conway,Ruturaj Gaikwad,Akash Madhwal,0,0,,,,,,,,,Mumbai,Wankhede Stadium,MI,field,MI,0,6,Ravindra Jadeja,7,0,MI won by 6 wickets
1001,2025-04-01,T20,Indian Premier League 2025,1,CSK,MI,1,2,Devon Conway,Ruturaj Gaikwad,Akash Madhwal,2,0,,,,,,,,,Mumbai,Wankhede Stadium,MI,field,MI,0,6,Ravindra Jadeja,9,0,MI won by 6 wickets
1001,2025-04-01,T20,Indian Premier League 2025,1,CSK,MI,1,3,Devon Conway,Ruturaj Gaikwad,Akash Madhwal,1,0,,,,,,,,,Mumbai,Wankhede Stadium,MI,field,MI,0,6,Ravindra Jadeja,10,0,MI won by 6 wickets
1001,2025-04-01,T20,Indian Premier League 2025,1,CSK,MI,1,4,Ruturaj Gaikwad,Devon Conway,Akash Madhwal,0,0,,,,,,,,,Mumbai,Wankhede Stadium,MI,field,MI,0,6,Ravindra Jadeja,10,0,MI won by 6 wickets
1001,2025-04-01,T20,Indian Premier League 2025,1,CSK,MI,1,5,Ruturaj Gaikwad,Devon Conway,Akash Madhwal,1,0,,,,,,,,,Mumbai,Wankhede Stadium,MI,field,MI,0,6,Ravindra Jadeja,11,0,MI won by 6 wickets
1001,2025-04-01,T20,Indian Premier League 2025,1,CSK,MI,1,6,Devon Conway,Ruturaj Gaikwad,Akash Madhwal,1,0,,,,,,caught,Devon Conway,,Mumbai,Wankhede Stadium,MI,field,MI,0,6,Ravindra Jadeja,12,1,MI won by 6 wickets
1001,2025-04-01,T20,Indian Premier League 2025,1,CSK,MI,2,1,Ruturaj Gaikwad,Ajinkya Rahane,Hardik Pandya,3,0,,,,,,,,,Mumbai,Wankhede Stadium,MI,field,MI,0,6,Ravindra Jadeja,15,1,MI won by 6 wickets
1001,2025-04-01,T20,Indian Premier League 2025,1,CSK,MI,2,2,Ajinkya Rahane,Ruturaj Gaikwad,Hardik Pandya,0,0,,,,,,,,,Mumbai,Wankhede Stadium,MI,field,MI,0,6,Ravindra Jadeja,15,1,MI won by 6 wickets
