match_id,season,date,match_type,event,stage,city,venue,team1,team2,innings,over,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,fielder,runs,wickets,current_run_rate,required_run_rate,balls_remaining,target,winner,winner_runs,winner_wickets,player_of_match
1001,2025,2025-04-01,T20,IPL 2025,League,Mumbai,Wankhede Stadium,MI,CSK,1,0,1,CSK,MI,Ruturaj Gaikwad,Devon Conway,Gerald Coetzee,1,0,,,,,,,,,1,0,6.0,,119,,MI,0,6,Ravindra Jadeja
1001,2025,2025-04-01,T20,IPL 2025,League,Mumbai,Wankhede Stadium,MI,CSK,1,0,2,CSK,MI,Devon Conway,Ruturaj Gaikwad,Gerald Coetzee,0,0,,,,,,,,,1,0,3.0,,118,,MI,0,6,Ravindra Jadeja
1001,2025,2025-04-01,T20,IPL 2025,League,Mumbai,Wankhede Stadium,MI,CSK,1,0,3,CSK,MI,Devon Conway,Ruturaj Gaikwad,Gerald Coetzee,0,1,1,,,,,,,,2,0,4.0,,117,,MI,0,6,Ravindra Jadeja
1001,2025,2025-04-01,T20,IPL 2025,League,Mumbai,Wankhede Stadium,MI,CSK,1,0,3,CSK,MI,Devon Conway,Ruturaj Gaikwad,Gerald Coetzee,1,0,,,,,,,,,3,0,6.0,,117,,MI,0,6,Ravindra Jadeja
1001,2025,2025-04-01,T20,IPL 2025,League,Mumbai,Wankhede Stadium,MI,CSK,1,0,4,CSK,MI,Ruturaj Gaikwad,Devon Conway,Gerald Coetzee,0,0,,,,,,,,,3,0,4.5,,116,,MI,0,6,Ravindra Jadeja
1001,2025,2025-04-01,T20,IPL 2025,League,Mumbai,Wankhede Stadium,MI,CSK,1,0,5,CSK,MI,Ruturaj Gaikwad,Devon Conway,Gerald Coetzee,4,0,,,,,,,,,7,0,8.4,,115,,MI,0,6,Ravindra Jadeja
1001,2025,2025-04-01,T20,IPL 2025,League,Mumbai,Wankhede Stadium,MI,CSK,1,0,6,CSK,MI,Ruturaj Gaikwad,Devon Conway,Gerald Coetzee,0,0,,,,,,,,,7,0,7.0,,114,,MI,0,6,Ravindra Jadeja
1001,2025,2025-04-01,T20,IPL 2025,League,Mumbai,Wankhede Stadium,MI,CSK,1,1,1,CSK,MI,Devon Conway,Ruturaj Gaikwad,Akash Madhwal,0,0,,,,,,,,,7,0,6.0,,113,,MI,0,6,Ravindra Jadeja
1001,2025,2025-04-01,T20,IPL 2025,League,Mumbai,Wankhede Stadium,MI,CSK,1,1,2,CSK,MI,Devon Conway,Ruturaj Gaikwad,Akash Madhwal,2,0,,,,,,,,,9,0,6.75,,112,,MI,0,6,Ravindra Jadeja
1001,2025,2025-04-01,T20,IPL 2025,League,Mumbai,Wankhede Stadium,MI,CSK,1,1,3,CSK,MI,Devon Conway,Ruturaj Gaikwad,Akash Madhwal,1,0,,,,,,,,,10,0,6.67,,111,,MI,0,6,Ravindra Jadeja
1001,2025,2025-04-01,T20,IPL 2025,League,Mumbai,Wankhede Stadium,MI,CSK,1,1,4,CSK,MI,Ruturaj Gaikwad,Devon Conway,Akash Madhwal,0,0,,,,,,,,,10,0,6.0,,110,,MI,0,6,Ravindra Jadeja
1001,2025,2025-04-01,T20,IPL 2025,League,Mumbai,Wankhede Stadium,MI,CSK,1,1,5,CSK,MI,Ruturaj Gaikwad,Devon Conway,Akash Madhwal,1,0,,,,,,,,,11,0,6.0,,109,,MI,0,6,Ravindra Jadeja
1001,2025,2025-04-01,T20,IPL 2025,League,Mumbai,Wankhede Stadium,MI,CSK,1,1,6,CSK,MI,Devon Conway,Ruturaj Gaikwad,Akash Madhwal,1,0,,,,,,caught,Devon Conway,,12,1,6.0,,108,,MI,0,6,Ravindra Jadeja
